Parte;CapituloNumero;ParteCapitulo;Capitulo;Total_caracteres;Total_palabras;Longitud_media_frases;Palabras_lexicas;Palabras_funcionales;Densidad_lexica;Indice_Legilibilidad_FH;Frecuencia_Quijote;Frecuencia_Sancho;GrupoQS0-QSx
2;7;2-C07;2-C07-q22s30.txt;2561;13896;21;29;52,11;;;0,44;43,11;QnnSnn
2;8;2-C08;2-C08-q21s30.txt;2745;15286;21;30;59,63;;;0,42;33,34;QnnSnn
2;9;2-C09;2-C09-q15s26.txt;1391;7543;15;26;44,95;;;0,43;49,76;QnnSnn
2;10;2-C10;2-C10-q26s48.txt;3292;18122;26;48;46,75;;;0,44;46,55;QnnSnn
2;11;2-C11;2-C11-q24s28.txt;2381;13090;24;28;55,77;;;0,42;38,05;QnnSnn
2;12;2-C12;2-C12-q22s28.txt;2326;12837;22;27;52,89;;;0,42;40,65;QnnSnn
2;13;2-C13;2-C13-q00s19.txt;2282;12376;0;19;46,97;;;0,43;48,31;QnnSnn
2;14;2-C14;2-C14-q40s29.txt;4074;22285;40;29;60,45;;;0,42;34,21;QnnSnn
2;15;2-C15;2-C15-q12s01.txt;738;4067;12;1;63,5;;;0,4;27,53;QnnSnn
2;16;2-C16;2-C16-q23s15.txt;3597;19711;23;15;63,26;;;0,43;31,93;QnnSnn
2;17;2-C17;2-C17-q41s19.txt;3844;20844;41;19;50,78;;;0,44;42,54;QnnSnn
2;18;2-C18;2-C18-q32s04.txt;3031;16276;32;4;62,78;;;0,43;34,52;QnnSnn
2;19;2-C19;2-C19-q13s07.txt;2795;15363;13;7;57,08;;;0,42;35,38;QnnSnn
2;20;2-C20;2-C20-q20s28.txt;3199;17523;20;28;50,67;;;0,43;43,79;QnnSnn
2;21;2-C21;2-C21-q07s06.txt;2392;13184;7;6;66,16;;;0,44;27,12;QnnSnn
2;22;2-C22;2-C22-q26s25.txt;2807;15512;26;25;53,8;;;0,43;38,21;QnnSnn
2;23;2-C23;2-C23-q23s16.txt;3846;21265;23;16;61,29;;;0,43;33,91;QnnSnn
